Run,Assay Type,AssemblyName,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,disease_state,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,tissue
SRR13199660,RNA-Seq,GRCh37.p13,112,1041599745,PRJNA682616,SAMN17004075,556238136,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",non-diabetic,SRX9633251,GSM4957182,Ion Torrent S5 XL,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2021-02-19T00:00:00Z,GSM4957182,human pancreatic islet tissue,SRP295934,Islet tissue
SRR13199661,RNA-Seq,GRCh37.p13,111,927788316,PRJNA682616,SAMN17004105,517569707,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",non-diabetic,SRX9633252,GSM4957183,Ion Torrent S5 XL,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2021-02-19T00:00:00Z,GSM4957183,human pancreatic exocrine tissue,SRP295934,Exocrine tissue adjacent to islets (within 50 um from islets)
SRR13199662,RNA-Seq,GRCh37.p13,111,988660992,PRJNA682616,SAMN17004074,550737861,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",non-diabetic,SRX9633253,GSM4957184,Ion Torrent S5 XL,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2021-02-19T00:00:00Z,GSM4957184,human pancreatic exocrine tissue,SRP295934,Exocrine tissue at a distance between 50-100 um from islets
SRR13199663,RNA-Seq,GRCh37.p13,111,1045010152,PRJNA682616,SAMN17004073,580790389,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",non-diabetic,SRX9633254,GSM4957185,Ion Torrent S5 XL,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2021-02-19T00:00:00Z,GSM4957185,human pancreatic exocrine tissue,SRP295934,Exocrine tissue far from islets (a minimum of 100 um from islets)
SRR13199664,RNA-Seq,GRCh37.p13,112,1044506348,PRJNA682616,SAMN17004072,555326820,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",non-diabetic,SRX9633255,GSM4957186,Ion Torrent S5 XL,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2021-02-19T00:00:00Z,GSM4957186,human pancreatic islet tissue,SRP295934,Islet tissue
SRR13199665,RNA-Seq,GRCh37.p13,110,1093615419,PRJNA682616,SAMN17004108,591333671,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",non-diabetic,SRX9633256,GSM4957187,Ion Torrent S5 XL,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2021-02-19T00:00:00Z,GSM4957187,human pancreatic exocrine tissue,SRP295934,Exocrine tissue adjacent to islets (within 50 um from islets)
SRR13199666,RNA-Seq,GRCh37.p13,112,863742056,PRJNA682616,SAMN17004107,472755678,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",non-diabetic,SRX9633257,GSM4957188,Ion Torrent S5 XL,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2021-02-19T00:00:00Z,GSM4957188,human pancreatic exocrine tissue,SRP295934,Exocrine tissue at a distance between 50-100 um from islets
SRR13199667,RNA-Seq,GRCh37.p13,111,1182690946,PRJNA682616,SAMN17004106,636989828,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",non-diabetic,SRX9633258,GSM4957189,Ion Torrent S5 XL,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2021-02-19T00:00:00Z,GSM4957189,human pancreatic exocrine tissue,SRP295934,Exocrine tissue far from islets (a minimum of 100 um from islets)
SRR13199668,RNA-Seq,GRCh37.p13,112,976392769,PRJNA682616,SAMN17004104,521397100,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",non-diabetic,SRX9633259,GSM4957190,Ion Torrent S5 XL,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2021-02-19T00:00:00Z,GSM4957190,human pancreatic islet tissue,SRP295934,Islet tissue
SRR13199669,RNA-Seq,GRCh37.p13,110,1208258532,PRJNA682616,SAMN17004103,672458680,GEO,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",non-diabetic,SRX9633260,GSM4957191,Ion Torrent S5 XL,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ION_TORRENT,2021-02-19T00:00:00Z,GSM4957191,human pancreatic exocrine tissue,SRP295934,Exocrine tissue adjacent to islets (within 50 um from islets)
